Section,Stat,Value
SM 0,InstructionsPerCycle,0
SM 7,Cycles,50628
SM 8,BlockCount,3
SM 19,IMU Instructions,216
SM 11,BRU Instructions,368
SM 7,SPU Instructions,0
Config.DPU,ExecutionBufferSize,15
SM 9,Cycles,50628
SM 14,LDS Instructions,152
Config.LSU,ReadLatency,1
SM 4,RegistersWrites,0
SM 9,RegistersReads,0
Config.SFU,NumSPULanes,32
SM 2,SFU Instructions,1888
SM 0,BRU Instructions,328
SM 14,SPU Instructions,0
Device,instructionsPerCycle,0
SM 0,Cycles,50628
SM 16,DPU Instructions,24
SM 14,SFU Instructions,1552
SM 18,BlockCount,3
SM 7,IMU Instructions,240
Config.SPU,ReadBufferSize,1
Config.DPU,Width,1
SM 1,IMU Instructions,264
Config.SFU,WriteBufferSize,1
SM 5,LDS Instructions,136
Config.SPU,DispatchBufferSize,2
SM 8,IMU Instructions,272
SM 10,BlockCount,3
SM 6,BRU Instructions,248
SM 10,LDS Instructions,152
SM 12,IMU Instructions,256
SM 16,BlockCount,3
SM 16,RegistersWrites,0
SM 9,InstructionsPerCycle,0
SM 18,Cycles,50628
SM 14,IMU Instructions,256
SM 8,Cycles,50628
SM 1,InstructionsPerCycle,0
Config.BRU,ExecutionLatency,5
SM 13,RegistersReads,0
SM 16,LDS Instructions,144
Config.BRU,DispatchBufferSize,2
SM 5,IMU Instructions,240
Config.DPU,ReadLatency,15
SM 0,IMU Instructions,264
SM 3,InstructionsPerCycle,0
Config.FrontEnd,MaxInstDispatchedPerType,2
SM 9,BlockCount,3
Config.BRU,NumSPULanes,32
SM 2,InstructionsPerCycle,0
SM 13,DPU Instructions,0
Config.FrontEnd,FetchBufferSize,10
SM 15,BlockCount,3
Config.LSU,WriteLatency,1
SM 18,SFU Instructions,1640
SM 4,LDS Instructions,136
SM 17,Cycles,50628
SM 6,RegistersReads,0
SM 4,SFU Instructions,1336
SM 19,SFU Instructions,1640
Config.SFU,ReadLatency,1
SM 9,RegistersWrites,0
SM 3,BlockCount,4
Config.LSU,ReadBufferSize,1
SM 17,RegistersReads,0
SM 12,RegistersReads,0
SM 9,BRU Instructions,368
SM 18,SPU Instructions,0
Config.SFU,WriteLatency,1
Config.SPU,ReadLatency,1
SM 10,SFU Instructions,1536
SM 12,Cycles,50628
SM 18,DPU Instructions,24
SM 12,LDS Instructions,152
SM 17,DPU Instructions,24
SM 8,SPU Instructions,0
SM 18,RegistersWrites,0
SM 4,InstructionsPerCycle,0
SM 18,RegistersReads,0
Config.IMU,ExecutionLatency,1
Config.SM,NumRegisters,65536
SM 3,DPU Instructions,24
Config.SPU,Width,1
SM 19,RegistersReads,0
SM 12,DPU Instructions,0
SM 1,RegistersReads,0
SM 11,SFU Instructions,1536
SM 18,IMU Instructions,216
SM 2,Cycles,50628
SM 3,LDS Instructions,184
SM 6,Cycles,50628
SM 16,InstructionsPerCycle,0
Config.SFU,Width,1
Config.SPU,ExecutionBufferSize,1
SM 3,BRU Instructions,328
Config.IMU,WriteBufferSize,1
SM 5,InstructionsPerCycle,0
SM 13,RegistersWrites,0
SM 17,IMU Instructions,216
SM 7,InstructionsPerCycle,0
SM 7,SFU Instructions,1336
SM 2,BRU Instructions,328
SM 2,BlockCount,4
SM 9,SFU Instructions,1536
SM 13,BRU Instructions,368
Config.FrontEnd,DispatchWidth,5
SM 8,DPU Instructions,0
SM 15,SPU Instructions,0
SM 16,Cycles,50628
SM 17,SPU Instructions,0
SM 6,SFU Instructions,1336
Config.BRU,Width,1
SM 11,DPU Instructions,0
Config.BRU,ReadLatency,5
Config.BRU,WriteLatency,5
Config.DPU,WriteBufferSize,12
Device,Cycles,50628
SM 7,RegistersReads,0
SM 13,BlockCount,3
SM 15,Cycles,50628
SM 4,BlockCount,3
SM 12,BRU Instructions,368
SM 17,InstructionsPerCycle,0
SM 6,InstructionsPerCycle,0
