Section,Stat,Value
Config.DPU,WriteBufferSize,12
SM 2,IMU Instructions,1032
SM 13,BRU Instructions,1336
SM 12,RegistersReads,0
SM 12,IMU Instructions,1008
SM 3,BRU Instructions,1312
SM 7,BlockCount,13
Config.DPU,ExecutionLatency,15
Config.SFU,ExecutionBufferSize,1
SM 12,BlockCount,13
SM 5,LDS Instructions,616
SM 4,DPU Instructions,48
SM 8,LDS Instructions,616
SM 2,Cycles,50592
SM 8,SPU Instructions,0
SM 4,SPU Instructions,0
SM 12,DPU Instructions,48
SM 9,RegistersWrites,0
SM 7,RegistersWrites,0
Config.SPU,ExecutionBufferSize,1
SM 17,BlockCount,12
SM 17,BRU Instructions,1256
SM 19,DPU Instructions,24
Config.FrontEnd,DispatchLatency,2
SM 17,InstructionsPerCycle,0
Config.SPU,ReadBufferSize,1
Config.DPU,Width,1
SM 16,SPU Instructions,0
SM 0,RegistersReads,0
Config.FrontEnd,FetchLatency,2
SM 1,LDS Instructions,624
SM 2,BRU Instructions,1312
SM 16,DPU Instructions,24
SM 19,LDS Instructions,584
SM 10,RegistersWrites,0
SM 1,SFU Instructions,6312
SM 7,SPU Instructions,0
SM 10,DPU Instructions,48
SM 15,DPU Instructions,48
SM 4,BlockCount,13
SM 10,BlockCount,13
SM 14,BlockCount,13
SM 14,InstructionsPerCycle,0
Device,Cycles,50592
SM 6,Cycles,50592
SM 17,LDS Instructions,584
SM 18,LDS Instructions,584
SM 19,BRU Instructions,1256
SM 2,LDS Instructions,624
SM 16,RegistersWrites,0
SM 18,RegistersWrites,0
Config.DPU,NumSPULanes,32
SM 6,RegistersReads,0
SM 11,RegistersReads,0
Config.SFU,WriteLatency,1
Config.SPU,WriteLatency,1
Config.LSU,WriteLatency,1
SM 11,Cycles,50592
Config.SFU,DispatchBufferSize,2
SM 0,DPU Instructions,24
SM 9,Cycles,50592
SM 11,DPU Instructions,48
SM 10,InstructionsPerCycle,0
SM 14,LDS Instructions,632
SM 4,InstructionsPerCycle,0
SM 1,DPU Instructions,24
SM 3,SPU Instructions,0
SM 16,IMU Instructions,984
SM 6,SFU Instructions,6400
SM 2,InstructionsPerCycle,0
SM 19,SPU Instructions,0
SM 13,BlockCount,13
SM 18,Cycles,50592
Config.BRU,WriteBufferSize,5
Config.SPU,ReadLatency,1
Config.IMU,ReadLatency,1
SM 3,SFU Instructions,6312
SM 4,RegistersReads,0
SM 7,LDS Instructions,616
SM 7,Cycles,50592
SM 11,BRU Instructions,1216
SM 14,RegistersWrites,0
Config.LSU,DispatchBufferSize,2
SM 3,IMU Instructions,1032
SM 4,LDS Instructions,616
Config.BRU,Width,1
SM 8,SFU Instructions,6416
SM 14,SPU Instructions,0
SM 17,SFU Instructions,6064
Config.SM,NumRegisters,65536
SM 10,BRU Instructions,1216
SM 14,BRU Instructions,1336
